CustomerKey,GeographyKey,FirstName,LastName,Gender,DateFirstPurchase,City
11000,26,Jon,Yang,M,2011-01-19,Rockhampton
11001,37,Eugene,Huang,M,2011-01-15,Seaford
11002,31,Ruben,Torres,M,2011-01-07,Hobart
11003,11,Christy,Zhu,F,2010-12-29,North Ryde
11004,19,Elizabeth,Johnson,F,2011-01-23,Wollongong
11005,22,Julio,Ruiz,M,2010-12-30,East Brisbane
11006,8,Janet,Alvarez,F,2011-01-24,Matraville
11007,40,Marco,Mehta,M,2011-01-09,Warrnambool
11008,32,Rob,Verhoff,F,2011-01-25,Bendigo
11009,25,Shannon,Carlson,M,2011-01-27,Hervey Bay
11010,22,Jacquelyn,Suarez,F,2011-01-14,East Brisbane
11011,22,Curtis,Lu,M,2010-12-30,East Brisbane
11012,611,Lauren,Walker,F,2013-03-16,Bremerton
11013,543,Ian,Jenkins,M,2013-04-13,Lebanon
11014,634,Sydney,Bennett,F,2013-03-23,Redmond
11015,301,Chloe,Young,F,2013-01-18,Burbank
11016,329,Wyatt,Hill,M,2013-02-09,Imperial Beach
11017,39,Shannon,Wang,F,2011-01-12,Sunbury
11018,32,Clarence,Rai,M,2011-01-17,Bendigo
11019,52,Luke,Lal,M,2013-02-12,Langley
11020,53,Jordan,King,M,2012-12-29,Metchosin
11021,536,Destiny,Wilson,F,2013-01-23,Beaverton
11022,609,Ethan,Zhang,M,2013-01-20,Bellingham
11023,298,Seth,Edwards,M,2013-02-17,Bellflower
11024,311,Russell,Xie,M,2013-06-27,Concord
11025,24,Alejandro,Beck,M,2011-01-06,Hawthorne
11026,4,Harold,Sai,M,2011-01-23,Goulburn
11027,40,Jessie,Zhao,M,2011-01-16,Warrnambool
11028,17,Jill,Jimenez,F,2011-01-26,St. Leonards
11029,32,Jimmy,Moreno,M,2011-01-19,Bendigo
11030,28,Bethany,Yuan,F,2011-02-05,Cloverdale
11031,8,Theresa,Ramos,F,2011-02-01,Matraville
11032,35,Denise,Stone,F,2011-02-18,Melbourne
11033,9,Jaime,Nath,M,2011-02-15,Milsons Point
11034,12,Ebony,Gonzalez,F,2011-02-01,North Sydney
11035,33,Wendy,Dominguez,F,2011-02-06,Cranbourne
11036,343,Jennifer,Russell,F,2013-01-22,National City
11037,49,Chloe,Garcia,F,2013-01-20,Cliffside
11038,6,Diana,Hernandez,F,2011-02-07,Lavender Bay
11039,19,Marc,Martin,M,2011-02-07,Wollongong
11040,642,Jesse,Murphy,M,2013-04-03,Tacoma
11041,325,Amanda,Carter,F,2013-01-14,Glendale
11042,338,Megan,Sanchez,F,2013-01-21,Los Angeles
11043,325,Nathan,Simmons,M,2013-05-08,Glendale
